date-time;Work Order;Item no.;No.;Qty;Description;Customer code;Customer
(blank);WO071727;585345;PRODFINISH;8;RM 5.50Fx18;1000404;KENDA Schweiz AG
(blank);WO071728;552828;GS-STEP SPACER;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071728;585130;GS-LINE;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071729;552828;GS-STEP SPACER;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071729;585024;GS-LINE;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071731;106373;GS-LINE;0;DU Wheel MD/HD W8x32/24K-200,0   160VSM;1000404;KENDA Schweiz AG
(blank);WO071732;667744;GS-LINE;0;DU Spacer Stepped 32/24K-200;;
(blank);WO071735;113869;MTM-SBM;0;WD Formed T-mount 12mm  Ø680,0-Ø662,5mm;1000404;KENDA Schweiz AG
(blank);WO071735;632117;D-LINE;0;WD Formed T-mount 12mm  Ø680,0-Ø662,5mm;1000404;KENDA Schweiz AG
(blank);WO071737;718576;GS-MTM;0;WB 10.00W-20 10/281/335 Ø26 ET0;1002666;ROSENBAUER INTERNATIONAL AG
(blank);WO071738;275475;E-LINE;100;WB 6.00Ix10 H2 5/65.5/112 Ø14 C60 ET0;1000103;KENDA GB Rugeley Ltd
(blank);WO071744;727073;F-LINE;0;WB W10x20 H2 6/161/205 Ø21.5 R16 ET0;1007200;BOHNENKAMP s.r.o.
(blank);WO071746;494777;ROLLING-LINE;0;DU Wheel MD/HD DWW16Lx34K-285,0  Emc2;1007200;BOHNENKAMP s.r.o.
(blank);WO071746;740607;GS-LINE;0;DU Wheel MD/HD DWW16Lx34K-285,0  Emc2;1007200;BOHNENKAMP s.r.o.
(blank);WO071747;144276;E-LINE;0;WB 10.50Ix12 H2 4/60/100 Ø15 C60 ET-20 RFH;1007234;BOHNENKAMP A/S
(blank);WO071749;505558;E-LINE;0;WB 7.00Ix12 H2 6/90/120 Ø13 ET-8;1007232;Bohnenkamp Benelux BV
(blank);WO071752;686721;ROLLING-LINE;0;DU Spacer Emc2 42-385,0 V68;1002669;Grasdorf Rad  GmbH
(blank);WO071753;560335;ROLLING-LINE;0;DU Spacer Emc2 46K-335;1002669;Grasdorf Rad  GmbH
(blank);WO071754;494739;ROLLING-LINE;0;DU Spacer Emc2 30K-335;1002669;Grasdorf Rad  GmbH
(blank);WO071758;274515;C-LINE;0;WB 2.50Ax8 H2 4/67/101.6 Ø11.5 C90 ET0;1000104;KENDA België NV
(blank);WO071760;579689;G-LINE;0;WB 5.5Jx14 H2 4/66.7/101.6 Ø15.5 C60 ET-26;1000106;KENDA Deutschland GmbH
(blank);WO071761;581705;G-LINE;0;WB 5.5Jx14 H2 5/106/140 Ø18.5 R14 ET0;1000106;KENDA Deutschland GmbH
(blank);WO071791;644509;D-LINE;0;DU Wheel MD/HD DW20Bx28-285,0  Emc2;1007234;BOHNENKAMP A/S
(blank);WO071791;713489;ROLLING-LINE;0;DU Wheel MD/HD DW20Bx28-285,0  Emc2;1007234;BOHNENKAMP A/S
(blank);WO071791;713731;GS-DUAL;0;DU Wheel MD/HD DW20Bx28-285,0  Emc2;1007234;BOHNENKAMP A/S
(blank);WO071792;102931;GS-LINE;0;DU Spacer Emc2 42K-335;;
(blank);WO071792;494944;ROLLING-LINE;0;DU Spacer Emc2 42K-335;;
(blank);WO071810;594293;E-LINE;0;WB 8.50Ix10 H2 4/60/100 Ø15 C60 ET-3;1000106;KENDA Deutschland GmbH
(blank);WO071827;113661;F-LINE;0;WB W11x18 H2 6/198.5/240 Ø18 R14 ET49;1007425;OFFICINE BREVETTI CARON S.R.L.
(blank);WO071830;594521;PRODFINISH;2;RM W8x28;1000404;KENDA Schweiz AG
(blank);WO071833;113906;GS-MTM;0;WD Formed T-mount 12mm  Ø1040,0-Ø1018,1mm;;
